TEMA,SUBTEMA,PREGUNTA,RESPUESTA
BAJAS,BAJA TEMPORAL POR PERIODO ESCOLAR,¿CÓMO?,"1.- Justifica tu solicitud:
- Prepara una carta o documento dónde expliques 
las razones de la baja
2.- Solicita la autorización: Dirígete con el Secretario de Administración y Finanzas,
3.- Presenta la solicitud
-Entrega a la facultad en el área administrativo correspondiente de tu Facultad
-Asegurate de recibir una confimación de que tu baja ha sido procesada correctamente"
BAJAS,BAJA TEMPORAL POR PERIODO ESCOLAR,¿CUÁNDO?,"Durante los primeros quince días de iniciado el 
periodo escolar"
BAJAS,BAJA TEMPORAL POR PERIODO ESCOLAR,¿QUÉ?,La Baja temporal es la cancelación de la inscripción solicitada y obtenida por el alumno del programa educativo de origen para dejar a salvo los derechos escolares que la misma otorga 
BAJAS,BAJA TEMPORAL POR PERIODO ESCOLAR,¿DÓNDE?,En la entidad académica de inscripción
BAJAS,BAJA TEMPORAL,¿CÓMO?,"Solicitar mediante un escrito a la 
Secretaría de Facultad o Entidad 
Academica."
BAJAS,BAJA TEMPORAL,¿CUÁNDO?,"Los primeros 5 días habiles, apartir de la fecha
de inicio del periodo escolar."
BAJAS,BAJA TEMPORAL,¿QUÉ?,"La baja temporal por experiencia
 educativa permite cancelar el registro
 académico de inscripción a la misma,
 y su autorización queda sujeta al número
 mínimo de créditos o de experiencias
 educativas requeridos por período
 escolar, establecido en cada plan
 de estudios."
BAJAS,BAJA TEMPORAL,¿DÓNDE?,En la entidad académica de inscripción
BAJAS,BAJA TEMPORAL EXTEMPORÁNEA,¿CÓMO?,"
- Solicitar el trámite por escrito al Consejo
Técnico de la Facultad o Entidad 
Académica, o al Órgano equivalente, antes
de que inicie el periodo de evaluación 
ordinaria establecido en el calendario 
escolar. El escrito debe especificar nombre
completo, matrícula, el periodo escolar y
la experiencia educativa a dar de baja 
(NRC-Nombre), además anexar, en caso 
de contar con esta información, el soporte 
documental que justifique la causa de 
fuerza mayor para solicitar la baja temporal 
extemporánea.

-En el caso de experiencias educativas del 
Área de Formación Básica General, la 
solicitud se debe dirigir a la Coordinación 
del AFBG para que se someta a 
consideración del Órgano Equivalente a 
Consejo Técnico.

-Una vez que sesione el Consejo Técnico de
la Facultad o Entidad Académica, o el 
Órgano equivalente correspondiente, acude 
con el Secretario de Facultad para recibir 
la respuesta formal de tu petición."
BAJAS,BAJA TEMPORAL EXTEMPORÁNEA,¿CUÁNDO?,"Los primeros 5 días habiles, apartir de la fecha
de inicio del periodo escolar."
BAJAS,BAJA TEMPORAL EXTEMPORÁNEA,¿QUÉ?,"La baja temporal extemporánea por 
experiencia educativa o por período
 escolar procede cuando por causas de 
fuerza mayor, debidamente justificadas, 
así lo determine y apruebe el Consejo 
Técnico o el órgano equivalente. Este 
órgano colegiado emitirá el dictamen 
correspondiente, con anterioridad al período 
de evaluación ordinaria"
BAJAS,BAJA TEMPORAL EXTEMPORÁNEA,¿DÓNDE?,En la entidad académica de inscripción
BAJAS,BAJA DEFINITIVA,¿CÓMO?,"Solicitar por escrito la baja definitiva del programa
educativo a la Secretaria de la Facultdad o Entidad
Académica"
BAJAS,BAJA DEFINITIVA,¿CUÁNDO?,"Antes de que termine el periodo de inscripción o 
reinscripción"
BAJAS,BAJA DEFINITIVA,¿QUÉ?,"Baja definitiva es la privación de los
derechos de inscripción y, en su caso, 
la cancelación de la misma, en un programa 
educativo, e impide el ingreso a otro programa que otorgue el mismo título."
BAJAS,BAJA DEFINITIVA,¿DÓNDE?,En la entidad académica de inscripción
BAJAS,BAJA DEFINITIVA,¿CUÁL?,"Son causas de baja definitiva:
I. Agotar las oportunidades de inscripción a que
tienen derecho los alumnos, atendiendo al nivel
educativo que se cursa;
II. Reprobar dos o más experiencias educativas en
examen extraordinario en segunda inscripción
en el período escolar;
III. Reprobar un examen de última oportunidad en
los niveles que aplique;
IV. Exceder el límite de permanencia establecido en
el plan de estudios del programa educativo;
V. Ser sancionado con la expulsión de la entidad
académica o de la Universidad Veracruzana;
VI. Rebasar el tiempo establecido en el caso de la
baja temporal por período;
VII. Omitir inscribirse en dos períodos escolares
consecutivos sin salvaguardar sus derechos por
medio de la baja temporal;
VIII. No cumplir con los aspectos de escolaridad que
determine el programa educativo de posgrado; y
IX. Que el propio alumno la solicite."
,,,
